2412,-20,-22.61,-22.61,-22.61,-22.61,0.3,2.31
2447,-20,-22.65,-22.65,-22.65,-22.65,0.3,2.35
2484,-20,-22.83,-22.83,-22.83,-22.83,0.3,2.53
5170,-20,-24.38,-24.38,-24.38,-24.38,0.3,4.08
5190,-20,-24.48,-24.48,-24.49,-24.48,0.3,4.18
5230,-20,-24.34,-24.34,-24.33,-24.34,0.3,4.04
5250,-20,-24.28,-24.27,-24.27,-24.27,0.3,3.97
5310,-20,-24.45,-24.45,-24.45,-24.45,0.3,4.15
5330,-20,-24.79,-24.79,-24.79,-24.79,0.3,4.49
5490,-20,-25.14,-25.14,-25.14,-25.14,0.3,4.84
5510,-20,-25.02,-25.02,-25.02,-25.02,0.3,4.72
5590,-20,-24.48,-24.48,-24.48,-24.48,0.3,4.18
5610,-20,-24.43,-24.43,-24.43,-24.43,0.3,4.13
5735,-20,-23.7,-23.7,-23.7,-23.7,0.3,3.4
5755,-20,-23.68,-23.68,-23.68,-23.68,0.3,3.38
5815,-20,-23.83,-23.83,-23.83,-23.83,0.3,3.53
5835,-20,-24.14,-24.14,-24.14,-24.14,0.3,3.84
